Year,Gold,Silver,Bronze
1908,Sweden,Norway,Sweden
1912,Sweden,Finland,Hungary
1920,Finland,Finland,Finland
1924,Finland,Sweden,United States
1928,Sweden,Hungary,Norway
1932,Finland,Finland,Finland
1936,Germany,Finland,Finland
1948,Finland,United States,Hungary
1952,United States,United States,Finland
1956,Norway,Poland,Russia
1960,Russia,Germany,Hungary
1964,Finland,Hungary,Russia
1968,Russia,Finland,Hungary
1972,Germany,Russia,United States
1976,Hungary,Finland,Romania
1980,Russia,Russia,Germany
1984,Finland,Great Britain,Sweden
1988,Finland,Czech Republic,Finland
1992,Czech Republic,Finland,Great Britain
1996,Czech Republic,Great Britain,Finland
2000,Czech Republic,Great Britain,Russia
2004,Norway,Latvia,Russia
2008,Norway,Latvia,Finland
2012,Trinidad and Tobago,Finland,Czech Republic
2016,Germany,Kenya,Trinidad and Tobago

